,도서명,저자,출판사,ISBN,주제분류번호,등록일자,이미지주소
0,(그림과 실습으로 배우는) 도커 & 쿠버네티스:개념과 작동 원리가 쏙쏙 이해되는 완벽 입문서 ,오가사와라 시게타카 지음 ;심효섭 옮김,위키북스,9791158393038,005.1,2022-06-22,http://image.kyobobook.co.kr/images/book/large/038/l9791158393038.jpg
1,"도메인 주도 설계 첫걸음:소프트웨어 아키텍처와 비즈니스 전략의 일치를 위한 핵심 패턴, 원칙, 실천법","블라드 코노노프 지음;김민석,오창윤 옮김",위키북스,9791158393359,005.115,2022-06-22,http://image.kyobobook.co.kr/images/book/large/359/l9791158393359.jpg
2,"(눈 떠보니) 메타버스 마스터 :메타버스 플랫폼(이프랜드, 제페토, 게더타운) 활용 가이드 ","최재용,진성민 지음",光文閣,9788970936208,004.783,2022-06-15,http://image.kyobobook.co.kr/images/book/large/208/l9788970936208.jpg
3,혼자 공부하는 얄팍한 코딩 지식 ,고현민 지음,한빛미디어,9791162245552,005.13,2022-06-15,http://image.kyobobook.co.kr/images/book/large/552/l9791162245552.jpg
4,(Do it!) 점프 투 파이썬 :라이브러리 예제 편 ,박응용 지음,이지스퍼블리싱,9791163033554,005.133,2022-06-15,http://image.kyobobook.co.kr/images/book/large/554/l9791163033554.jpg
5,(한 권으로 끝내는) 메타버스 크리에이터 ,주종민 지음,생능북스,9788970505411,004.783,2022-06-15,http://image.kyobobook.co.kr/images/book/large/411/l9788970505411.jpg
6,야사와 만화로 배우는 인공지능,"권건우,김가인,전준혁,허령 지음",루나파인북스,9791197119927,004.73,2022-06-15,http://image.kyobobook.co.kr/images/book/large/927/l9791197119927.jpg
7,"전길남, 연결의 탄생: 한국 인터넷의 개척자 전길남 이야기",구본권 지음,김영사,9788934961772,004.58,2022-06-07,http://image.kyobobook.co.kr/images/book/large/772/l9788934961772.jpg
8,실무자를 위한 그래프 데이터 활용법:그래프 씽킹으로 시작하는 그래프 데이터베이스 사용 안내서,"데니즈 고즈넬,마티아스 브뢰헬러 지음;우정은 옮김",한빛미디어,9791162245590,005.75,2022-06-07,http://image.kyobobook.co.kr/images/book/large/590/l9791162245590.jpg
9,"그림으로 이해하는 AWS 구조와 기술 =The structure and technology of AWS :AWS, 쉽고 재미있게 시작하자! ",오가사와라 시게타카 지음 ;성창규 옮김,길벗,9791165215682,004.588,2022-05-30,http://image.kyobobook.co.kr/images/book/large/682/l9791165215682.jpg
10,그림으로 이해하는 인지과학,"기타하라 요시노리 지음, 조태호 옮김",길벗,9791165219154,004.73,2022-05-25,http://image.kyobobook.co.kr/images/book/large/154/l9791165219154.jpg
11,객체지향 UI 디자인,"소시오미디어 주식회사.후지이 고타 지음, 송지연 옮김",에이콘출판,9791161756240,004.78,2022-05-25,http://image.kyobobook.co.kr/images/book/large/240/l9791161756240.jpg
12,오늘부터 개발자,김병욱 지음,천그루숲,9791188348909,005.1,2022-05-25,http://image.kyobobook.co.kr/images/book/large/909/l9791188348909.jpg
13,기계 학습을 다시 묻다,"레슬리 밸리언트 지음, 이광근 옮김",인사이트,9788966263264,004.73,2022-05-25,http://image.kyobobook.co.kr/images/book/large/264/l9788966263264.jpg
14,어떻게 인간과 공존하는 인공지능을 만들 것인가,"스튜어트 러셀 지음, 이한음 옮김",김영사,9788934988434,004.73,2022-05-25,http://image.kyobobook.co.kr/images/book/large/434/l9788934988434.jpg
15,비전공자도 이해할 수 있는 AI 지식,"박상길 지음, 정진호 그림",반니,9791167960221,004.73,2022-05-25,http://image.kyobobook.co.kr/images/book/large/221/l9791167960221.jpg
16,"쉽게 배우는 AWS AI 서비스 :챗봇, 음성비서, 크롤러 프로젝트를 구현하며 만나는 서비스형 AI ","피터 엘거,오언 셔너히 지음 ;맹윤호;임지순 옮김",한빛미디어,9791162245521,004.58,2022-05-23,http://image.kyobobook.co.kr/images/book/large/521/l9791162245521.jpg
17,"구글 엔지니어는 이렇게 일한다 :구글러가 전하는 문화, 프로세스, 도구의 모든 것 ","타이터스 윈터스,톰 맨쉬렉,하이럼 라이트 지음 ;개앞맵시 옮김",한빛미디어,9791162245620,005.1,2022-05-23,http://image.kyobobook.co.kr/images/book/large/620/l9791162245620.jpg
18,(가장 쉬운 독학) 알고리즘 첫걸음: 파이썬편,마스이 도시카츠 지음;박광수(아크몬드)옮김,동양북스(동양문고),9791157688050,005.133,2022-05-23,http://image.kyobobook.co.kr/images/book/large/050/l9791157688050.jpg
19,실전 알고리즘 트레이딩 배우기 ,"세바스티앙 도나디오,수라브 고쉬 지음 ;이기홍 옮김",에이콘(에이콘출판주식회사),9791161754901,004.73,2022-05-16,http://image.kyobobook.co.kr/images/book/large/901/l9791161754901.jpg
20,"실전 카프카 개발부터 운영까지 :데이터플랫폼의 중추 아파치 카프카의 내부동작과 개발,운영,보안의 모든것",고승범 지음,책만,9791189909345,005.74,2022-05-10,http://image.kyobobook.co.kr/images/book/large/345/l9791189909345.jpg
21,(Do it!) 알고리즘 코딩 테스트 :IT 기업 최신 출제 경향 완벽 분석!,김종관 지음,이지스퍼블리싱,9791163033448,005.13,2022-05-10,http://image.kyobobook.co.kr/images/book/large/448/l9791163033448.jpg
22,OpenCV-python으로 배우는 영상 처리 및 응용 ,"정성환,배종욱 지음",생능출판,9788970504414,005.133,2022-05-10,http://image.kyobobook.co.kr/images/book/large/414/l9788970504414.jpg
23,(생활코딩!) 자바 프로그래밍 입문:처음 프로그래밍을 시작하는 입문자의 눈높이에 맞춘,이고잉 지음;위키북스 기획편집,위키북스,9791158393021,005.133,2022-04-29,http://image.kyobobook.co.kr/images/book/large/021/l9791158393021.jpg
24,"객체지향의 사실과 오해 :역할, 책임, 협력 관점에서 본 객체지향 =(The)Essence of object-orientation : roles, responsibilities, and collaborations ",조영호 지음,위키북스,9788998139766,005.115,2022-04-26,http://image.kyobobook.co.kr/images/book/large/766/l9788998139766.jpg
25,(후니의 쉽게 쓴) 시스코 네트워킹:시스코 전문가가 말하는 네트워크 따라잡기,진강훈 외 지음,성안당,9788931589191,004.5,2022-04-26,http://image.kyobobook.co.kr/images/book/large/191/l9788931589191.jpg
26,(직장인을 위한) 실무 엑셀:실전! 비즈니스 엑셀 완전 정복 ,선양미 지음,길벗,9791160500790,005.53,2022-04-19,http://image.kyobobook.co.kr/images/book/large/790/l9791160500790.jpg
27,고객을 끌어오는 구글 애널리틱스 4 =Google analytics 4 :입문부터 최신 고급 기법까지 실무에 필요한 웹 로그 분석 완벽 설명&실습 가이드 ,문준영 지음,한빛미디어,9791162245316,005.76,2022-04-19,http://image.kyobobook.co.kr/images/book/large/316/l9791162245316.jpg
28,(유연한 소프트웨어를 만드는)설계 원칙 :막다른 골목 없이 진화하는 시스템 개발하기 ,"크리스 핸슨,제럴드 제이 서스먼 지음 ;류광 옮김",한빛미디어,9791162245408,005.1,2022-04-19,http://image.kyobobook.co.kr/images/book/large/408/l9791162245408.jpg
29,"(파이썬과 리액트를 활용한) 주식 자동 거래 시스템 구축 :데이터 수집부터 거래 자동화, API 서버, 웹 개발, 데이터 분석까지 아우르는 ",박재현 지음,위키북스,9791158391881,005.133,2022-04-12,http://image.kyobobook.co.kr/images/book/large/881/l9791158391881.jpg
30,"(손가락 하나 까딱하지 않는) 주식 거래 시스템 구축 :파이썬을 이용한 데이터 수집과 차트 분석, 매매 자동화까지 ",장용준 지음,위키북스,9791158392024,005.133,2022-04-12,http://image.kyobobook.co.kr/images/book/large/024/l9791158392024.jpg
31,이것이 취업을 위한 코딩 테스트다 with 파이썬 :취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드 ,나동빈 지음,한빛미디어,9791162243077,005.1,2022-04-12,http://image.kyobobook.co.kr/images/book/large/077/l9791162243077.jpg
32,한 권으로 끝내는 노션 =Notion :'일잘러'들의 생산성 향상 비법,"피터 킴,이석현 지음",애드앤미디어,9791197193521,005.58,2022-04-12,http://image.kyobobook.co.kr/images/book/large/521/l9791197193521.jpg
33,"팀장님, 우리도 협업 도구 쓸까요? :성공적인 개발 조직을 위한 5가지 협업 도구",오세용 지음,비제이퍼블릭,9791165921361,005.1,2022-04-11,http://image.kyobobook.co.kr/images/book/large/361/l9791165921361.jpg
34,데이터 천재들은 어떻게 기획하고 분석할까? :직관을 넘어 핵심을 꿰뚫는 데이터 분석의 절대 법칙 ,"조성준,조재희,김성범,이성임,조성배,이영훈 지음",21세기북스,9788950900229,005.76,2022-04-11,http://image.kyobobook.co.kr/images/book/large/229/l9788950900229.jpg
35,(Hello IT) 프론트엔드 개발을 시작하려고 해,박영웅 지음,패스트캠퍼스랭귀지,9791197641718,005.138,2022-04-11,http://image.kyobobook.co.kr/images/book/large/718/l9791197641718.jpg
36,된다! 사각사각 아이패드 드로잉 with 프로크리에이트 =Gotcha! iPad drawing with Procreate :드로잉&캘리그라피&디자인을 한번에! ,"레이나,임예진,캘리스마인드 지음",이지스퍼블리싱,9791163032618,005.56,2022-04-11,http://image.kyobobook.co.kr/images/book/large/618/l9791163032618.jpg
37,파이썬 텍스트 마이닝 완벽 가이드 ,"박상언,강주영,정석찬 지음",위키북스,9791158393007,005.133,2022-04-11,http://image.kyobobook.co.kr/images/book/large/007/l9791158393007.jpg
38,머신러닝 시스템 디자인 패턴 :AI 엔지니어를 위한 ,시부이 유우스케 지음 ;하승민 옮김,위키북스,9791158392888,004.73,2022-04-11,http://image.kyobobook.co.kr/images/book/large/888/l9791158392888.jpg
39,사이버 보안을 위한 머신러닝 쿡북 :파이썬으로 구현하는 80가지 머신러닝 알고리듬 ,"엠메누엘 츠케르만 지음 ;장기식,김우석 옮김",에이콘(에이콘출판주식회사),9791161755724,004.6,2022-04-11,http://image.kyobobook.co.kr/images/book/large/724/l9791161755724.jpg
40,(SW 개발의 첫걸음) 시스템 분석 설계 with 애자일=System Analysis and Design with Agile ,최은만 지음,생능출판(생능출판사),9788970505190,004.21,2022-04-11,http://image.kyobobook.co.kr/images/book/large/190/l9788970505190.jpg
41,(채인선 작가의) 이야기 코딩 :코딩 개념과 이야기의 만남 ,채인선 글 ;김영수 그림,위즈덤하우스,9788962475913,005.1,2022-04-05,http://image.kyobobook.co.kr/images/book/large/913/l9788962475913.jpg
42,"Apache Airflow 기반의 데이터 파이프라인: 에어플로 중심의 워크플로 구축에서 커스텀 컴포넌트 개발및 배포,관리까지","바스 하렌슬락,율리안 더라위터르 지음;김정민,문선홍 옮김",제이펍,9791191600681,005.75,2022-04-05,http://image.kyobobook.co.kr/images/book/large/681/l9791191600681.jpg
43,"한 달 만에 블로그 일 방문자 수 1,000명 만들기",권호영 지음,푸른향기,9788967821418,004.586,2022-03-29,http://image.kyobobook.co.kr/images/book/large/418/l9788967821418.jpg
44,(소프트웨어 교육에 바로 활용할 수 있는) 송쌤의 엔트리 콘텐츠 작품집,송상수 지음,Jpub(제이펍),9791190665421,005.1,2022-03-29,http://image.kyobobook.co.kr/images/book/large/421/l9791190665421.jpg
45,"효율성이 배가되는 WSL2 가이드북 :설치와 구성부터 비주얼 스튜디오 코드, 도커, 쿠버네티스에서의 활용까지",스튜어트 리크스 지음 ; 박진수 옮김,제이펍,9791191600636,005.44,2022-03-29,http://image.kyobobook.co.kr/images/book/large/636/l9791191600636.jpg
46,"(세상 모든 디자인,) 미리캔버스 하나로! :썸네일, 포스터, 교육용 프레젠테이션 초스피드로 만들기 ",스마트플립러닝연구회 지음,위키북스,9791158392857,005.565,2022-03-29,http://image.kyobobook.co.kr/images/book/large/857/l9791158392857.jpg
47,(나의 첫) 블렌더 :19개의 실전 예제를 따라하며 배우는 ,Benjamin 지음 ;윤인성 옮김,위키북스,9791158392741,004.76,2022-03-29,http://image.kyobobook.co.kr/images/book/large/741/l9791158392741.jpg
48,나만 따라와! 같이 음악 만들자 :feat. 로직 프로 10.6 :책 한 권으로 만드는 나의 첫 번째 음악 ,김대운 지음,BJpublic(비제이퍼블릭),9791165920968,004.75,2022-03-21,http://image.kyobobook.co.kr/images/book/large/968/l9791165920968.jpg
49,"금융 전략을 위한 머신러닝 :19가지 사례를 통해 익히는 금융 전략, 머신러닝, 데이터 과학 ","하리옴 탓샛,사힐 푸리,브래드 루카보 지음 ;김한상 옮김",한빛미디어,9791162245002,004.73,2022-03-21,http://image.kyobobook.co.kr/images/book/large/002/l9791162245002.jpg
50,"(딱, 하루 배워서) 블로그로 투잡하자! :나는 블로그로 투잡한다 ",류진이 지음,T.W.I.G(티더블유아이지),9791196918002,004.586,2022-03-14,http://image.kyobobook.co.kr/images/book/large/002/l9791196918002.jpg
51,"사용자를 사로잡는 UX/UI 실전 가이드 :시장에서 살아남는 화면 설계와 스마트한 데이터 활용법, 현실적인 브랜딩과 디자인 윤리까지 ",김성연 지음,루비페이퍼,9791186710753,004.78,2022-03-14,http://image.kyobobook.co.kr/images/book/large/753/l9791186710753.jpg
52,(된다!) 최반장의 실무 엑셀with 피벗 테이블 ,최재완(최반장) 지음,이지스퍼블리싱,9791163033394,005.53,2022-03-14,http://image.kyobobook.co.kr/images/book/large/394/l9791163033394.jpg
53,"(프로크리에이트로 배우는) 댈희의 카카오 이모티콘 클래스 :한권으로 배우는 이모티콘&애니메이션 제작, 승인 노하우! ",댈희 지음,BM성안당,9788931557749,005.565,2022-03-14,http://image.kyobobook.co.kr/images/book/large/749/l9788931557749.jpg
54,아이패드 드로잉 with 어도비 프레스코,사타케 ?스케,므큐,9791168012202,005.565,2022-03-04,http://image.kyobobook.co.kr/images/book/large/202/l9791168012202.jpg
55,"진짜 쓰는 실무 엑셀:유튜브 대표 엑셀 채널, 오빠두가 알려 주는 엑셀 함수, 보고서 작성, 데이터 분석 노하우!",오빠두(전진권) 지음,제이펍,9791191600704,005.53,2022-03-04,http://image.kyobobook.co.kr/images/book/large/704/l9791191600704.jpg
56,"(처음 배우는) 플라스크 웹 프로그래밍:대규모 애플리케이션 개발부터 테스트, 배포까지",윤정현 지음,한빛미디어,9791162244678,005.133,2022-03-02,http://image.kyobobook.co.kr/images/book/large/678/l9791162244678.jpg
57,무던한 개발자를 위한 모던한 자바스크립트:쉽고 간결한 설명으로 빠르게 변하는 자바스크립트 학습하기,카이 호스트만 지음;우정은 옮김,한빛미디어,9791162245057,005.138,2022-03-02,http://image.kyobobook.co.kr/images/book/large/057/l9791162245057.jpg
58,(이득우의) 게임 수학:39가지 예제로 배운다! 메타버스를 구성하는 게임 수학의 모든 것,이득우 지음,책만,9791189909376,005.1,2022-03-02,http://image.kyobobook.co.kr/images/book/large/376/l9791189909376.jpg
59,스벨트로 시작하는 웹 프런트엔드 :Svelte 프레임워크를 이용한 웹 프런트엔드 기초부터 실전 SNS 프로젝트까지 ,김근영 지음,비제이퍼블릭,9791165921132,005.118,2022-03-02,http://image.kyobobook.co.kr/images/book/large/132/l9791165921132.jpg
60,바닐라 자바스크립트 :순수 자바스크립트를 익히며 주도적인 개발자로 성장하기 ,고승원 지음,비제이퍼블릭,9791165921071,005.138,2022-03-02,http://image.kyobobook.co.kr/images/book/large/071/l9791165921071.jpg
61,파이썬 무작정 따라하기,"송석리,서승희",길벗,9791165217891,005.133,2022-02-22,http://image.kyobobook.co.kr/images/book/large/891/l9791165217891.jpg
62,대시보드 설계와 데이터 시각화 :차트와 그래프를 활용한 비즈니스 데이터 분석 시나리오와 디자인 사례 ,"스티브 웩슬러,제프리 섀퍼,앤디 코트그리브 지음 ;최윤석 옮김",책만,9791196203757,005.7,2022-02-22,http://image.kyobobook.co.kr/images/book/large/757/l9791196203757.jpg
63,(Do it!) 리액트 네이티브 앱 프로그래밍:타입스크립트와 훅으로 나만의 인스타그램 앱 만들기!:안드로이드와 iOS 모바일 앱을 한 번에!,전예홍 지음,이지스퍼블리싱,9791163032427,005.58,2022-02-22,http://image.kyobobook.co.kr/images/book/large/427/l9791163032427.jpg
64,"개발자로 살아남기:한글과컴퓨터, 블리자드, 넥슨, 삼성전자, 몰로코 출신 개발자의 30년 커리어패스 인사이트",박종천 지음,골든래빗(주),9791191905113,005.04,2022-02-22,http://image.kyobobook.co.kr/images/book/large/113/l9791191905113.jpg
65,처음 읽는 양자컴퓨터 이야기,"다케다 ?타로 지음, 전종훈 옮김, 김재완 감수",플루토,9791188569281,004.1,2022-02-15,http://image.kyobobook.co.kr/images/book/large/281/l9791188569281.jpg
66,소프트웨어 아키텍처 101,"마크 리처즈, 닐 포드",한빛미디어,9791162244869,005.12,2022-02-15,http://image.kyobobook.co.kr/images/book/large/869/l9791162244869.jpg
67,프로그래머의 뇌,펠리너 헤르만스,제이펍,9791191600650,005.1,2022-02-15,http://image.kyobobook.co.kr/images/book/large/650/l9791191600650.jpg
68,OPA 시작하기,이상근,에이콘(에이콘출판주식회사),9791161755458,004.588,2022-02-15,http://image.kyobobook.co.kr/images/book/large/458/l9791161755458.jpg
69,한달 공부 데이터 분석(개정판),전익진,디스커버리미디어,9791188829248,005.76,2022-02-15,http://image.kyobobook.co.kr/images/book/large/248/l9791188829248.jpg
70,"웹 애플리케이션 보안 :정찰, 공격, 방어 세 단계로 배우는 웹 애플리케이션 보안의 모든 것 ",앤드루 호프먼 지음 ;최용 옮김,한빛미디어,9791162243930,004.61,2022-02-15,http://image.kyobobook.co.kr/images/book/large/930/l9791162243930.jpg
71,SQL 쿡북 :모든 SQL 사용자를 위한 쿼리 완벽 가이드 ,"앤서니 몰리나로,로버트 더그래프;송희정 옮김",한빛미디어,9791162245125,005.755,2022-02-15,http://image.kyobobook.co.kr/images/book/large/125/l9791162245125.jpg
72,"된다! 하루 5분 노션 활용법 :포트폴리오, 개인 관리, 업무 협업 :4,000명 방문 포트폴리오의 비밀 공개! 하루 5분 기록으로 인생이 바뀐다! ",이다슬 지음,이지스퍼블리싱,9791163033264,005.58,2022-02-15,http://image.kyobobook.co.kr/images/book/large/264/l9791163033264.jpg
73,"Do it! 장고+부트스트랩 파이썬 웹 개발의 정석 :웹 기초부터 블로그 개발, 배포, 운영까지 만들면서 배우는 웹 개발 A to Z","이성용,김태곤 지음",이지스퍼블리싱,9791163032069,005.11,2022-02-15,http://image.kyobobook.co.kr/images/book/large/069/l9791163032069.jpg
74,(한 권으로 배우는) Vue.js 3 :웹 애플리케이션 개발 기초부터 실전까지 ,김동혁 지음,Youngjin.com(영진닷컴),9788931465792,005.118,2022-02-15,http://image.kyobobook.co.kr/images/book/large/792/l9788931465792.jpg
75,마이크로서비스 아키텍처 보안 설계와 구현 ,"프라바스 시리와데나,누완 디아스 지음 ;박상영 옮김",에이콘(에이콘출판주식회사),9791161755670,005.12,2022-02-15,http://image.kyobobook.co.kr/images/book/large/670/l9791161755670.jpg
76,(백견불여일타) Node.js로 서버 만들기 ,박민경 지음,로드북,9788997924905,005.118,2022-02-15,http://image.kyobobook.co.kr/images/book/large/905/l9788997924905.jpg
77,팜,글: 홍지연 ;그림: 지문,길벗,9791165217907,005.1,2022-02-11,http://image.kyobobook.co.kr/images/book/large/907/l9791165217907.jpg
78,오늘부터 차근차근 아이패드 드로잉 ,배성규 지음,북라이프,9791191013269,005.56,2022-02-11,http://image.kyobobook.co.kr/images/book/large/269/l9791191013269.jpg
79,"블록체인 해설서 =Blockchain :비트코인, 이더리움 그리고 하이퍼레저 :블록체인 기술에 대한 완벽한 해설은 물론 그 진정한 효용과 미래를 명쾌히 설명해 주는 책 ",이병욱 지음,에이콘,9791161752709,005.11,2022-02-11,http://image.kyobobook.co.kr/images/book/large/709/l9791161752709.jpg
80,(262가지 문제로 정복하는) 코딩 인터뷰 in Java ,"아드난 아지즈,쭝시엔 리,아미트 프라카시 지음 ;이창현,김현욱 옮김",인사이트,9788966263196,005.138,2022-02-11,http://image.kyobobook.co.kr/images/book/large/196/l9788966263196.jpg
81,"이펙티브 코틀린=effective Kotlin Best Practices:안전성, 가독성, 코드 설계, 효율성을 향상시키기 위한 52가지 전략과 기법",마르친 모스칼라 지음;윤인성 옮김,인사이트,9788966263370,005.11,2022-02-11,http://image.kyobobook.co.kr/images/book/large/370/l9788966263370.jpg
82,진짜 쓰는 포토샵 & 일러스트레이터,"이하나, 박경나",Jpub(제이펍),9791191600384,005.565,2022-02-10,http://image.kyobobook.co.kr/images/book/large/384/l9791191600384.jpg
83,그림으로 공부하는 IT 인프라 구조(개정판),야마자키 야스시 외,Jpub(제이펍),9791190665209,004.5,2022-02-10,http://image.kyobobook.co.kr/images/book/large/209/l9791190665209.jpg
84,만들면서 배우는 클린 아키텍처,톰 홈버그,위키북스,9791158392758,005.58,2022-02-10,http://image.kyobobook.co.kr/images/book/large/758/l9791158392758.jpg
85,넷플릭스의 클라우드 엔지니어링,정윤진,예문사,9788927436133,004.588,2022-02-10,http://image.kyobobook.co.kr/images/book/large/133/l9788927436133.jpg
86,스프링으로 하는 마이크로서비스 구축,매그너스 라슨,에이콘,9791161754673,005.133,2022-02-10,http://image.kyobobook.co.kr/images/book/large/673/l9791161754673.jpg
87,꼼꼼한 재은 씨의 스위프트 기본편,이재은,루비페이퍼,9791186710319,005.133,2022-02-10,http://image.kyobobook.co.kr/images/book/large/319/l9791186710319.jpg
88,"퇴근 후, 아이패드 여행 드로잉",이거니,리얼북스,9791191553222,004.76,2022-02-10,http://image.kyobobook.co.kr/images/book/large/222/l9791191553222.jpg
89,혼자 공부하는 SQL,우재남,한빛미디어,9791162244739,005.755,2022-02-08,http://image.kyobobook.co.kr/images/book/large/739/l9791162244739.jpg
90,텐서플로 라이트를 활용한 안드로이드 딥러닝,임태규,한빛미디어,9791162244593,004.73,2022-02-08,http://image.kyobobook.co.kr/images/book/large/593/l9791162244593.jpg
91,AI로 일하는 기술,장동인,한빛미디어,9791162244913,004.73,2022-02-08,http://image.kyobobook.co.kr/images/book/large/913/l9791162244913.jpg
92,러스트 프로그래밍 공식 가이드,"스티브 클라브닉, 캐롤 니콜스",Jpub(제이펍),9791188621729,005.133,2022-02-08,http://image.kyobobook.co.kr/images/book/large/729/l9791188621729.jpg
93,빅데이터 커리어 가이드북,조성준 외,길벗,9791165217495,005.76,2022-02-08,http://image.kyobobook.co.kr/images/book/large/495/l9791165217495.jpg
94,"고전 컴퓨터 알고리즘 인 파이썬 :피보나치 수열부터 보드게임까지, 알고리즘으로 풀어보는 고전 문제 43선 ",데이비드 코펙 지음 ;최길우 옮김,한빛미디어,9791162242469,005.1,2022-02-07,http://image.kyobobook.co.kr/images/book/large/469/l9791162242469.jpg
95,15단계로 배우는 도커와 쿠버네티스 :컨테이너 개발부터 쿠버네티스 프로덕션까지 ,타카라 마호 지음 ;이동규 옮김,Jpub(제이펍),9791190665469,005.1,2022-02-07,http://image.kyobobook.co.kr/images/book/large/469/l9791190665469.jpg
96,(BERT와 GPT로 배우는) 자연어 처리 :트랜스포머 핵심 원리와 허깅페이스 패키지 활용법 ,이기창 지음,이지스퍼블리싱,9791163033165,004.73,2022-02-07,http://image.kyobobook.co.kr/images/book/large/165/l9791163033165.jpg
97,쿠버네티스 시작하기 :인프라의 미래 속으로 ,"브렌던 번스,조 베다,켈시 하이타워 지음 ;이준;김희곤,이한선,이해원,이설민,박재민,문규태 옮김",에이콘,9791161754383,005.11,2022-02-07,http://image.kyobobook.co.kr/images/book/large/383/l9791161754383.jpg
98,쿠버네티스 기초 다지기:기초부터 시작하는 단계별 가이드,"조나단 바이에르,제시 화이트 [공]지음;박규태 옮김",에이콘,9791161753027,005.11,2022-02-07,http://image.kyobobook.co.kr/images/book/large/027/l9791161753027.jpg
99,"기초부터 완성까지, 프런트엔드 :개발부터 테스트까지, 이론과 예제로 배우는 프런트엔드 ","이재성,한정 지음",비제이퍼블릭,9791165921057,005.118,2022-02-07,http://image.kyobobook.co.kr/images/book/large/057/l9791165921057.jpg
100,리액트 네이티브를 다루는 기술 :실무에서 알아야 할 기술은 따로 있다! ,김민준 지음,길벗,9791165217341,005.118,2022-02-07,http://image.kyobobook.co.kr/images/book/large/341/l9791165217341.jpg
101,UX 디자인이 처음이라면,이현진 지음,유엑스리뷰,9791188314911,005.15,2021-12-06,http://image.kyobobook.co.kr/images/book/large/911/l9791188314911.jpg
102,머신러닝 디자인 패턴,발리아파 락슈마난 외,한빛미디어,9791162244845,004.73,2021-11-16,http://image.kyobobook.co.kr/images/book/large/845/l9791162244845.jpg
103,구글 BERT의 정석,수다르산 라비찬디란,한빛미디어,9791162244852,004.73,2021-11-16,http://image.kyobobook.co.kr/images/book/large/852/l9791162244852.jpg
104,자바 마스터 북,타니모토 신 외,Jpub(제이펍),9791188621187,005.133,2021-11-16,http://image.kyobobook.co.kr/images/book/large/187/l9791188621187.jpg
105,엑셀 자동화 with 파이썬,최은석,위키북스,9791158392260,005.133,2021-11-16,http://image.kyobobook.co.kr/images/book/large/260/l9791158392260.jpg
106,데이터 스토리텔링 연습,콜 누스바우머 내플릭,에이콘(에이콘출판주식회사),9791161755342,005.75,2021-11-16,http://image.kyobobook.co.kr/images/book/large/342/l9791161755342.jpg
107,쉽게 시작하는 캐글 데이터 분석,시노다 히로유키,길벗,9791165216726,005.76,2021-11-16,http://image.kyobobook.co.kr/images/book/large/726/l9791165216726.jpg
108,오라클 튜닝 에센셜,박찬권,글봄creative(글봄크리에이티브),9791196707125,005.755,2021-11-16,http://image.kyobobook.co.kr/images/book/large/125/l9791196707125.jpg
109,(디버깅을 통해 배우는) 리눅스 커널의 구조와 원리 :라즈베리 파이로 따라하면서 쉽게 이해할 수 있는 리눅스 커널,김동현 지음,위키북스,9791158391997,005.44,2021-11-09,http://image.kyobobook.co.kr/images/book/large/997/l9791158391997.jpg
110,(디버깅을 통해 배우는) 리눅스 커널의 구조와 원리 :라즈베리 파이로 따라하면서 쉽게 이해할 수 있는 리눅스 커널 ,김동현 지음,위키북스,9791158391980,005.44,2021-11-09,http://image.kyobobook.co.kr/images/book/large/980/l9791158391980.jpg
111,온택트 파워포인트 속성과외,김상종,첨단,9788960305809,005.55,2021-11-09,http://image.kyobobook.co.kr/images/book/large/809/l9788960305809.jpg
112,엘라스틱 스택 개발부터 운영까지,"김준영, 정상운",책만,9791189909321,005.74,2021-11-09,http://image.kyobobook.co.kr/images/book/large/321/l9791189909321.jpg
113,자바 데이터 분석,존 R. 허바드,에이콘,9791161753355,005.7,2021-11-09,http://image.kyobobook.co.kr/images/book/large/355/l9791161753355.jpg
114,단위 테스트,블라디미르 코리코프,에이콘출판,9791161755748,005.14,2021-11-09,http://image.kyobobook.co.kr/images/book/large/748/l9791161755748.jpg
115,3일 만에 끝내는 코딩 통계,박준석,사회평론아카데미,9791167070265,005.54,2021-11-09,http://image.kyobobook.co.kr/images/book/large/265/l9791167070265.jpg
116,백견불여일타 스프링 부트 쇼핑몰 프로젝트 with JPA,변구훈,로드북,9788997924899,005.133,2021-11-09,http://image.kyobobook.co.kr/images/book/large/899/l9788997924899.jpg
117,파이썬이 보이는 그림책:국내 최초 그림으로 배우는 프로그래밍 입문서 :Python을 시작할 새로운 9개 관문 ,ANK Co. Ltd.;이영란 옮김,BM성안당,9788931555653,005.13,2021-11-02,http://image.kyobobook.co.kr/images/book/large/653/l9788931555653.jpg
118,JAVA가 보이는 그림책 :Java가 좋아지는 새로운 9개 관문 ,"ANK Co., Ltd. 지음;Ltd 저;김성훈 역",BM성안당,9788931555707,005.135,2021-11-02,http://image.kyobobook.co.kr/images/book/large/707/l9788931555707.jpg
119,(홍마리오의) 워드프레스 :유형별 4가지 웹사이트 만들기+SEO·웹사이트 수정까지!,황홍식 지음,앤써북,9791185553696,005.118,2021-10-26,http://image.kyobobook.co.kr/images/book/large/696/l9791185553696.jpg
120,피닉스 프로젝트 :위기에 빠진 IT 프로젝트를 구하라 ,"진 킴,케빈 베어,조지 스패포드 지음 ;박현철,류미경 옮김",에이콘출판,9791161755625,005.12,2021-10-19,http://image.kyobobook.co.kr/images/book/large/625/l9791161755625.jpg
